nom_region,year,pib,population,gdp_pc,administración pública,agropecuario-silvícola,"comercio, restaurantes y hoteles",construcción,"electricidad, gas, agua y gestión de desechos",industria manufacturera,minería,pesca,servicios de vivienda e inmobiliarios,servicios financieros y empresariales,servicios personales,"transporte, información y comunicaciones",producto interno bruto pct,adm_publica,agropecuario,comercio,construccion,electricidad,industria,mineria,pesca_pct,vivienda,financieros,personales,transporte,id
tarapaca,1985,1167.1,297643.916443248,22.12588545,12.541160646308446,0.9878870788218443,9.04335067977059,5.876042980574732,1.7591334689166578,15.37270456574215,5.723552036764107,2.4163403570733832,6.74009225521248,4.165577732768127,12.334254232367998,8.529978365364833,93.99460933383507,2.7748428387026864,0.21857876343547247,2.0009214122478367,1.3001265388747307,0.389223856245111,3.401347002783028,1.266386567325568,10.92087529122313,1.491305091612635,0.9216709574829828,2.7290629625655196,1.8873332420304052,1
antofagasta,1985,3481.6,369225.818319409,30.40334167,5.95274053059773,0.1056210312415,4.55912216153088,4.46088703655905,1.17422281325705,5.67100058682361,57.3017021389633,0.33301876317496776,5.84150022764565,3.69834786533547,7.85604344663729,6.31081705136727,104.0273409447569,1.8098320422461986,0.03211232300373069,1.3861254879229228,1.3562587272377857,0.35700297388162694,1.7241736845196871,17.42163228403471,1.09533605479811,1.7760112728649347,1.1244213376430945,2.3884997308247797,1.9186992702958106,2
atacama,1985,592.7,198944.375345738,13.63779123,12.754017469393892,2.2676310994750732,4.563678405323987,6.996992825880059,1.691279874573044,5.577261298923768,44.54168418717707,0.15637836242577172,9.388618357700011,7.81510310023415,16.2613320635497,7.083900398523686,120.08815369504254,1.739366275913668,0.3092547952129641,0.6223849333266785,0.9542352739715999,0.23065321840927758,0.7606152522988097,6.074501899773131,1.1466546142880918,1.2804001710045823,1.0658074452191908,2.2176865180439584,0.9660875472917982,3
coquimbo,1985,846.9,452312.020422288,8.981185455,12.786034247475882,5.98181098188083,7.83432053928064,10.19480856672888,4.434349944837641,6.135019164120081,12.187450002330955,0.0756687729185045,15.268411792284445,4.9711258557215094,21.95372100569227,7.08756754811796,109.67714509567003,1.1483374481056225,0.5372375378502738,0.7036148567719503,0.9156146641601483,0.39825719226955875,0.5509974488294153,1.0945774869447449,0.8425254471989355,1.3712843790981555,0.4464660323038045,1.971704397794514,0.6365475857448704,4
valparaiso,1985,3587.2,1266194.73995732,15.09445358,11.381456115348666,3.2306992935624876,5.7913040040208665,6.844428923070672,3.3093347919499507,37.88506463133881,6.850001057468151,0.04006579438581101,9.708456209410357,7.5323240474484185,13.698073796593565,5.405862107579877,111.90243886165824,1.7179686100593756,0.4876564051761776,0.874165694563611,1.0331291466089965,0.4995260039776749,5.718543494530434,1.0339702298490392,0.26543388386644073,1.465438415864074,1.1369631568372787,2.0676493905809594,0.8159853464274542,5
metropolitana,1985,12558.9,4641169.47342385,16.11982214,8.666775479802055,1.4844796397045443,12.538287940893738,6.5404677618844715,2.79624396732784,20.774056307671138,1.2791292993755357,9.649011879797149e-4,14.143759181937416,23.51672376494087,19.733568332872515,6.850459885012748,118.32993736684679,1.397068792617223,0.23929547762488534,2.021149715473139,1.0543117703398155,0.4507495541337276,3.348740928060039,0.20619336799996446,0.0059858054239034855,2.27994882403823,3.7908540440635803,3.181016117134413,1.1042819492361036,6
ohiggins,1985,1907.4,630112.13980411,14.266309660000001,5.7746846994574,11.2359425207635,6.66884330146028,14.497799947263,4.35765765046292,10.660993312204,18.7187544696848,0.00587011611560342,7.0120905800086,3.80094409995801,9.48762767135163,5.76971610138928,98.0262010573591,0.8238344011132331,1.6029543532317307,0.9513978361264909,2.068301034363856,0.6216769343377205,1.5209303187509136,2.6704754771403247,0.0411467033556835,1.000366555783717,0.5422544553035097,1.3535343429828708,0.8231255655270744,7
maule,1985,1031.2,780408.536934256,8.564552804,9.842994092365812,12.05207735085257,4.015768035262735,14.88541656800973,10.157322780615862,15.091726989573786,0.5319300280898321,0.0090213520985876,12.135813027519001,6.4633288954318076,25.18317744258056,8.549849085922693,119.01473789979997,0.8430084265352704,1.0322065286926927,0.34393257386623033,1.2748693620625577,0.8699292730185665,1.2925389270575665,0.0455574281360857,0.1053336035755919,1.039378114936576,0.5535552161454471,2.156826529794829,0.7322563396261603,8
biobio,1985,3553.7,1601978.24557314,15.46296076,6.90659213990662,7.39468300923629,4.00899075588728,4.67673629185484,8.29908893082551,35.5168501380057,2.04531718967711,0.36067277867286146,7.05860791918075,4.02659629704294,16.192284067504,4.01187636700647,102.47011805499822,1.067963632447005,1.1434369320445945,0.6199086674548774,0.7231618976581928,1.2832848648110522,5.491956600027827,0.31626659445730626,2.33249494887072,1.0914697727451719,0.6226310053753629,2.5038065315058757,0.6203548683699239,9
araucania,1985,871.5,725863.116233394,6.735833225,14.124926212170271,12.21917097085624,6.53454506268133,9.251840452566556,1.6072160808781173,9.023694977595971,0.6808628507319034,0.007181289306219927,15.880140890307102,6.51218167115637,28.40272155372037,4.426570212015695,108.77048416375405,0.9514314728060991,0.8230629780744897,0.4401560574346861,0.6231885431279686,0.1082593947733311,0.6078210444235658,0.04586178611628171,0.10661322907411987,1.0696598062661167,0.43864969667811105,1.913159955219733,0.29816638706890614,10
