Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0121ABD,2000.03,4889,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2001.03,5121,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2002.03,5331,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2003.03,5644,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2004.03,5800,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2005.03,6143,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2006.03,6574,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2007.03,6968,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2008.03,8999,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2009.03,9510,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2010.03,9751,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2011.03,10150,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2012.03,10214,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2013.03,10545,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2014.03,10802,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2015.03,10977,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2016.03,10094,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2017.03,10444,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2018.03,11190,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2019.03,11442,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2020.03,11652,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2021.03,10750,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121ABD,2022.03,11544,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",,
RNAA.SG01NAC34B0121CCA,2000.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2001.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2002.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2003.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2004.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2005.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2006.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2007.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2008.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2009.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2010.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
RNAA.SG01NAC34B0121CCA,2011.03,,CONFIDENTIAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Primary Manufacturing,,
